"first_order_month","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"2023-Jan",46,25,29,25,28,31,29,32,30,29,23,25,27,29,27,24,28,24,25,26,21,24,15
"2023-Feb",14,7,4,4,1,3,4,5,3,4,4,5,5,2,6,6,5,2,4,3,5,1,0
"2023-Mar",8,2,1,3,1,5,1,3,4,2,2,1,2,3,3,4,3,2,1,3,0,0,NA
"2023-Apr",2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA
"2023-May",7,1,1,0,0,2,1,1,2,3,0,1,1,1,1,1,2,1,0,0,NA,NA,NA
"2023-Jun",6,0,2,0,1,1,1,0,2,1,1,0,0,1,0,1,0,0,0,NA,NA,NA,NA
"2023-Jul",4,0,1,2,1,1,0,2,2,2,1,2,0,2,2,1,1,0,NA,NA,NA,NA,NA
"2023-Aug",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"2023-Sep",3,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"2023-Oct",3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2023-Nov",4,2,2,3,3,2,1,2,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-Dec",1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Jan",3,1,2,2,2,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Feb",2,1,1,1,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Mar",1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Apr",1,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-May",3,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Jun",6,1,2,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Jul",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Aug",1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Sep",2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Oct",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-Nov",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
